title,genre,score,ranked,aired,episodes
Haikyuu!! Second Season,"Comedy, Sports, Drama, School, Shounen",8.82,25.0,"Oct 4, 2015 to Mar 27, 2016",25.0
Fullmetal Alchemist: Brotherhood,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",9.23,1.0,"Apr 5, 2009 to Jul 4, 2010",64.0
Mob Psycho 100 II,"Action, Slice of Life, Comedy, Supernatural",8.89,21.0,"Jan 7, 2019 to Apr 1, 2019",13.0
Owarimonogatari 2nd Season,"Mystery, Comedy, Supernatural, Vampire",8.93,18.0,"Aug 12, 2017 to Aug 13, 2017",7.0
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"Comedy, Sports, Drama, School, Shounen",8.94,16.0,"Oct 8, 2016 to Dec 10, 2016",10.0
Gintama.,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.94,15.0,"Jan 9, 2017 to Mar 27, 2017",12.0
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",8.95,14.0,"Jul 6, 2013",1.0
Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.97,13.0,"Apr 4, 2006 to Mar 25, 2010",201.0
Clannad: After Story,"Slice of Life, Comedy, Supernatural, Drama, Romance",8.97,12.0,"Oct 3, 2008 to Mar 27, 2009",24.0
Gintama': Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",8.98,11.0,"Oct 4, 2012 to Mar 28, 2013",13.0
One Punch Man,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural, Seinen",8.68,50.0,"Oct 5, 2015 to Dec 21, 2015",12.0
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,"Comedy, Josei, Music, Romance",7.88,750.0,"Apr 7, 2010",1.0
Noragami OVA,"Action, Adventure, Comedy, Supernatural, Shounen",7.86,798.0,"Feb 17, 2014 to Jul 17, 2014",2.0
Lupin III: Part II,"Action, Adventure, Mystery, Comedy, Seinen",7.86,796.0,"Oct 3, 1977 to Oct 6, 1980",155.0
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai","Slice of Life, Comedy, Fantasy",7.86,794.0,"Sep 20, 2017",1.0
Kuroko no Basket 2nd Season NG-shuu,"Comedy, Sports",7.86,795.0,"Jan 29, 2014 to Sep 24, 2014",9.0
K-On!: Live House!,"Comedy, Music, School, Slice of Life",7.86,793.0,"Jan 19, 2010",1.0
K-On!,"Slice of Life, Comedy, Music, School",7.86,792.0,"Apr 3, 2009 to Jun 26, 2009",13.0
InuYasha Movie 3: Tenka Hadou no Ken,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Drama, Magic, Romance, Fantasy, Shounen",7.86,791.0,"Dec 20, 2003",1.0
Hidamari Sketch x ☆☆☆ Specials,"Slice of Life, Comedy, School, Seinen",7.86,790.0,"Oct 23, 2010 to Oct 30, 2010",2.0
Haikyuu!! Movie 2: Shousha to Haisha,"Comedy, Sports, Drama, School, Shounen",7.86,789.0,"Sep 18, 2015",1.0
Gochuumon wa Usagi Desu ka??: Dear My Sister,"Slice of Life, Comedy",7.86,788.0,"Nov 11, 2017",1.0
Gekkan Shoujo Nozaki-kun Specials,"Comedy, Romance, School",7.86,786.0,"Sep 24, 2014 to Feb 25, 2015",6.0
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.","Slice of Life, Comedy",7.86,784.0,"Jan 9, 2019 to Mar 27, 2019",12.0
Digimon Adventure,"Action, Adventure, Comedy, Fantasy, Kids",7.86,783.0,"Mar 7, 1999 to Mar 26, 2000",54.0
Detective Conan OVA 10: Kid in Trap Island,"Adventure, Comedy, Mystery, Police, Shounen",7.86,782.0,"Apr 14, 2010",1.0
Bungou Stray Dogs: Dead Apple,"Action, Comedy, Mystery, Super Power, Supernatural",7.86,780.0,"Mar 3, 2018",1.0
Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,"Action, Comedy, School, Shounen",7.86,778.0,"Mar 11, 2016 to May 20, 2016",8.0
Yaoguai Mingdan 2nd Season,"Action, Comedy, Romance, Fantasy",7.87,777.0,"Aug 2, 2017 to Dec 29, 2017",21.0
Toshokan Sensou: Kakumei no Tsubasa,"Action, Comedy, Military, Romance",7.87,774.0,"Jun 16, 2012",1.0
Paradise Kiss,"Comedy, Drama, Josei, Romance, Slice of Life",7.87,772.0,"Oct 14, 2005 to Dec 30, 2005",12.0
Manga de Wakaru! Fate/Grand Order,Comedy,7.87,770.0,"Dec 31, 2018",1.0
Lucky☆Star: Original na Visual to Animation,"Comedy, Parody, School, Slice of Life",7.87,769.0,"Sep 26, 2008",1.0
Heartcatch Precure!,"Action, Slice of Life, Fantasy, Magic, Comedy, School, Shoujo",7.87,763.0,"Feb 7, 2010 to Jan 30, 2011",49.0
Hidamari Sketch x 365,"Slice of Life, Comedy, School, Seinen",7.87,764.0,"Jul 4, 2008 to Sep 26, 2008",13.0
Ghost Hunt,"Mystery, Comedy, Horror, Supernatural, Shoujo",7.87,760.0,"Oct 4, 2006 to Mar 28, 2007",25.0
Gakuen Babysitters,"Comedy, School, Shoujo, Slice of Life",7.87,759.0,"Jan 7, 2018 to Mar 25, 2018",12.0
Detective Conan Movie 23: The Fist of Blue Sapphire,"Action, Mystery, Comedy, Police, Drama, Shounen",7.87,758.0,"Apr 12, 2019",1.0
Bleach,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",7.87,757.0,"Oct 5, 2004 to Mar 27, 2012",366.0
Tentai Senshi Sunred,"Comedy, Parody, Super Power, Seinen",7.88,753.0,"Oct 3, 2008 to Mar 28, 2009",26.0
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,"Magic, Adventure, Fantasy, Comedy, Supernatural",7.88,747.0,"Jun 24, 2016",1.0
Karakai Jouzu no Takagi-san,"Romance, Comedy, School, Slice of Life, Shounen",7.88,746.0,"Jan 8, 2018 to Mar 26, 2018",12.0
Junjou Romantica,"Comedy, Drama, Romance, Shounen Ai",7.88,745.0,"Apr 11, 2008 to Jun 27, 2008",12.0
Emiya-san Chi no Kyou no Gohan,"Slice of Life, Comedy",7.88,743.0,"Jan 25, 2018 to Jan 1, 2019",13.0
Aggressive Retsuko (ONA) 2nd Season,"Slice of Life, Comedy",7.88,739.0,"Jun 14, 2019",10.0
Space☆Dandy,"Sci-Fi, Space, Comedy",7.89,737.0,"Jan 5, 2014 to Mar 27, 2014",13.0
Slayers Try,"Adventure, Comedy, Demons, Magic, Fantasy, Shounen",7.89,736.0,"Apr 4, 1997 to Sep 26, 1997",26.0
Kyou kara Maou! 3rd Series,"Adventure, Comedy, Demons, Fantasy, Shoujo",7.89,733.0,"Apr 3, 2008 to Feb 19, 2009",39.0
Kokoro Connect,"Slice of Life, Comedy, Supernatural, Drama, Romance, School",7.89,732.0,"Jul 8, 2012 to Sep 30, 2012",13.0
Jungle wa Itsumo Hare nochi Guu Deluxe,"Comedy, Slice of Life",7.89,731.0,"Aug 25, 2002 to Jan 25, 2003",6.0
Haikyuu!! Movie 1: Owari to Hajimari,"Comedy, Sports, Drama, School, Shounen",7.89,728.0,"Jul 3, 2015",1.0
Goku Sayonara Zetsubou Sensei,"Comedy, Parody, School, Shounen",7.89,726.0,"Oct 17, 2008 to Feb 17, 2009",3.0
Yuru Yuri♪♪,"Slice of Life, Comedy, School, Shoujo Ai",7.9,722.0,"Jul 3, 2012 to Sep 18, 2012",12.0
Saint☆Oniisan (Movie),"Comedy, Seinen, Slice of Life",7.9,720.0,"May 10, 2013",1.0
Mahoujin Guruguru (2017),"Adventure, Fantasy, Magic, Comedy, Shounen",7.9,718.0,"Jul 11, 2017 to Dec 20, 2017",24.0
Jungle wa Itsumo Hare nochi Guu,"Slice of Life, Comedy, School",7.9,716.0,"Apr 3, 2001 to Sep 25, 2001",26.0
