outcome,month,MMWR week,Age group,Vaccinated with outcome,Unvaccinated with outcome,Crude vax IR,Crude unvax IR
case,APR 2021,202114,12-17,8,30785,21.68785751,175.3484912
case,APR 2021,202114,18-29,671,76736,26.38519315,246.808299
case,APR 2021,202114,30-49,1837,98436,24.72940019,239.653115
case,APR 2021,202114,50-64,1547,50324,20.66125637,219.2902663
case,APR 2021,202114,65-79,1655,14880,11.494573,193.8529339
case,APR 2021,202114,80+,792,3757,15.95820884,148.8164792
case,APR 2021,202115,12-17,5,30598,9.171114657,176.9186345
case,APR 2021,202115,18-29,744,70484,23.53776387,241.4616067
case,APR 2021,202115,30-49,2101,91823,23.09463999,241.8298256
case,APR 2021,202115,50-64,1900,45460,19.73226843,218.341681
case,APR 2021,202115,65-79,1962,14128,11.84981394,200.990041
case,APR 2021,202115,80+,931,3425,17.20744752,143.7010079
case,APR 2021,202116,12-17,8,26222,9.427847505,154.1157341
case,APR 2021,202116,18-29,891,54626,21.65137017,197.5974185
case,APR 2021,202116,30-49,2409,74591,21.13216101,209.9922187
case,APR 2021,202116,50-64,2193,36385,17.53826569,188.4721454
case,APR 2021,202116,65-79,2000,12021,10.98885763,183.510888
case,APR 2021,202116,80+,902,3003,15.65218417,131.9367284
case,APR 2021,202117,12-17,24,24494,17.41641933,146.0859736
case,APR 2021,202117,18-29,943,49243,18.18249128,186.3937167
case,APR 2021,202117,30-49,2678,64986,19.36033819,193.4442677
case,APR 2021,202117,50-64,2313,30221,14.83273827,167.4723768
case,APR 2021,202117,65-79,1977,10223,10.21943088,165.9191675
case,APR 2021,202117,80+,971,2530,16.17514332,115.5623157
case,MAY 2021,202118,12-17,9,19421,3.843394486,116.9975493
case,MAY 2021,202118,18-29,852,38984,13.6592398,152.6395833
case,MAY 2021,202118,30-49,2257,53203,13.91730261,165.2772973
case,MAY 2021,202118,50-64,2050,25143,11.08826808,147.0088754
case,MAY 2021,202118,65-79,1713,8733,8.500404997,149.3032345
case,MAY 2021,202118,80+,893,2165,14.47859624,102.1865563
case,MAY 2021,202119,12-17,21,15132,5.324152129,93.30937497
case,MAY 2021,202119,18-29,773,31681,10.23106185,127.6633572
case,MAY 2021,202119,30-49,1933,43592,10.2487031,140.1358004
case,MAY 2021,202119,50-64,1819,20958,8.673248131,127.8112311
case,MAY 2021,202119,65-79,1626,7616,7.827802593,135.8945846
case,MAY 2021,202119,80+,761,2069,12.08946842,100.3537847
case,MAY 2021,202120,12-17,25,11017,3.826573564,73.83454909
case,MAY 2021,202120,18-29,707,23715,7.679073385,98.71206459
case,MAY 2021,202120,30-49,1916,32974,8.851447533,110.1614647
case,MAY 2021,202120,50-64,1691,15842,7.365937327,100.9130908
case,MAY 2021,202120,65-79,1458,5886,6.84865809,109.5520612
case,MAY 2021,202120,80+,693,1523,10.82526476,75.75433511
case,MAY 2021,202121,12-17,30,7158,3.237094513,50.54326954
case,MAY 2021,202121,18-29,635,17423,5.915935396,74.60066721
case,MAY 2021,202121,30-49,1616,24908,6.726861812,85.9538894
case,MAY 2021,202121,50-64,1454,11936,5.950729758,78.78735592
case,MAY 2021,202121,65-79,1178,4591,5.428109914,88.46073883
case,MAY 2021,202121,80+,598,1179,9.213201809,59.8565271
case,JUN 2021,202122,12-17,40,5364,3.423713668,39.14806398
case,JUN 2021,202122,18-29,603,13738,5.030876063,60.0132826
case,JUN 2021,202122,30-49,1557,19899,5.9908754,70.30856979
