Product,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
FE284,18,Male,14,Single,3,4,29562,112
FE284,19,Male,15,Single,2,3,31836,75
FE284,19,Female,14,Partnered,4,3,30699,66
FE284,19,Male,12,Single,3,3,32973,85
FE284,20,Male,13,Partnered,4,2,35247,47
FE284,20,Female,14,Partnered,3,3,32973,66
FE284,21,Female,14,Partnered,3,3,35247,75
FE284,21,Male,13,Single,3,3,32973,85
FE284,21,Male,15,Single,5,4,35247,141
FE284,21,Female,15,Partnered,2,3,37521,85
FE284,22,Male,14,Single,3,3,36384,85
FE284,22,Female,14,Partnered,3,2,35247,66
FE284,22,Female,16,Single,4,3,36384,75
FE284,22,Female,14,Single,3,3,35247,75
FE284,23,Male,16,Partnered,3,1,38658,47
FE284,23,Male,16,Partnered,3,3,40932,75
FE284,23,Female,14,Single,2,3,34110,103
FE284,23,Male,16,Partnered,4,3,39795,94
FE284,23,Female,16,Single,4,3,38658,113
FE284,23,Female,15,Partnered,2,2,34110,38
FE284,23,Male,14,Single,4,3,38658,113
FE284,23,Male,16,Single,4,3,40932,94
FE284,24,Female,16,Single,4,3,42069,94
FE284,24,Female,16,Partnered,5,5,44343,188
FE284,24,Male,14,Single,2,3,45480,113
FE284,24,Male,13,Partnered,3,2,42069,47
FE284,24,Female,16,Single,4,3,46617,75
FE284,25,Female,14,Partnered,3,3,48891,75
FE284,25,Male,14,Partnered,2,3,45480,56
FE284,25,Female,14,Partnered,2,2,53439,47
FE284,25,Female,14,Partnered,3,3,39795,85
FE284,25,Male,16,Single,3,4,40932,113
FE284,25,Female,16,Partnered,2,2,40932,47
FE284,25,Male,16,Single,3,3,43206,85
FE284,26,Female,14,Partnered,3,4,44343,113
FE284,26,Female,16,Partnered,4,3,52302,113
FE284,26,Male,16,Partnered,2,2,53439,47
FE284,26,Male,16,Partnered,3,3,51165,85
FE284,26,Female,16,Single,3,3,36384,66
FE284,26,Male,16,Partnered,4,4,44343,132
FE284,26,Male,16,Single,3,3,50028,85
FE284,27,Female,14,Partnered,3,2,45480,66
FE284,27,Male,16,Single,4,3,54576,85
FE284,27,Female,14,Partnered,2,3,45480,56
FE284,28,Female,14,Partnered,2,3,46617,56
FE284,28,Female,16,Partnered,2,3,52302,66
FE284,28,Male,14,Single,3,3,52302,103
FE284,28,Female,14,Partnered,3,3,54576,94
FE284,28,Male,14,Single,4,3,54576,113
FE284,28,Female,16,Partnered,3,3,51165,56
FE284,29,Male,18,Partnered,3,3,68220,85
FE284,29,Female,14,Partnered,2,2,46617,38
FE284,29,Female,16,Partnered,4,3,50028,94
FE284,30,Male,14,Partnered,4,4,46617,141
FE284,30,Male,14,Single,3,3,54576,85
FE284,31,Male,14,Partnered,2,2,54576,47
FE284,31,Female,14,Single,2,2,45480,47
FE284,32,Female,14,Single,3,4,46617,113
FE284,32,Male,14,Partnered,4,3,52302,85
FE284,33,Female,16,Single,2,2,55713,38
FE284,33,Female,16,Partnered,3,3,46617,85
FE284,34,Male,16,Single,4,5,51165,169
FE284,34,Female,16,Single,2,2,52302,66
FE284,35,Male,16,Partnered,4,3,48891,85
FE284,35,Female,16,Partnered,3,3,60261,94
FE284,35,Female,18,Single,3,3,67083,85
FE284,36,Male,12,Single,4,3,44343,94
FE284,37,Female,16,Partnered,3,3,37521,85
FE284,38,Male,16,Partnered,3,3,46617,75
FE284,38,Female,14,Partnered,2,3,54576,56
FE284,38,Male,14,Single,2,3,52302,56
FE284,38,Male,16,Partnered,3,3,56850,75
FE284,39,Male,16,Partnered,4,4,59124,132
FE284,40,Male,16,Partnered,3,3,61398,66
FE284,41,Male,16,Partnered,4,3,54576,103
FE284,43,Male,16,Partnered,3,3,53439,66
FE284,44,Female,16,Single,3,4,57987,75
FE284,46,Female,16,Partnered,3,2,60261,47
FE284,47,Male,16,Partnered,4,3,56850,94
FE284,50,Female,16,Partnered,3,3,64809,66
FE580,19,Male,14,Single,3,3,31836,64
FE580,20,Male,14,Single,2,3,32973,53
FE580,20,Female,14,Partnered,3,3,34110,106
FE580,20,Male,14,Single,3,3,38658,95
FE580,21,Female,14,Partnered,5,4,34110,212
FE580,21,Male,16,Partnered,2,2,34110,42
FE580,21,Male,12,Partnered,2,2,32973,53
FE580,23,Male,14,Partnered,3,3,36384,95
FE580,23,Male,14,Partnered,3,3,38658,85
